text,label
“It’s amazing how someone can break your heart and you can still love them with all the little pieces.” ~ Ella Harper,1
"“Never feel regret for your own decisions. If, you will not respect your own decisions, who else will?” ~ Invajy",1
"“I always like walking in the rain, so no one can see me crying.” ~ Charlie Chaplin",1
"“I know how to love you, but not how to stop loving you.” ~ Invajy",1
“Sadness flies away on the wings of time.” ~ Jean de La Fontaine,1
“There are years that ask questions and years that answer.” ~ Zora Neale Hurston,1
"“Be strong now because things will get better. It might be stormy now, but it can’t rain forever” ~ Anonymous",1
"“I do believe that if you haven’t learnt about sadness, you cannot appreciate happiness.” ~ Nana Mouskouri",1
“Maybe we all have darkness inside of us and some of us are better at dealing with it than others.” ~ Jasmine Warga,1
"“Don’t cry because it’s over, smile because it happened.” ~ Dr. Seuss",1
"“To have been loved so deeply, even though the person who loved us is gone, will give us some protection forever.” ~ J.K. Rowling",1
"“It is sad not to love, but it is much sadder not to be able to love.” ~ Miguel de Unamuno",1
"“There are two types of people in the world: Those who prefer to be sad among others, and those who prefer to be sad alone.” ~ Nicole Krauss ",1
"“So it’s true, when all is said and done, grief is the price we pay for love.” ~ E.A. Bucchianeri",1
“Relationship is like a glass. Sometimes it’s better to leave it broken instead of hurting yourself while trying to put them back together.” ~ Anonymous,1
"“Nothing can cure the soul but the senses, just as nothing can cure the senses but the soul.” ~ Oscar Wilde",1
"“First, accept sadness. Realize that without losing, winning isn’t so great.” ~ Alyssa Milano",1
“Don’t cry over someone who wouldn’t cry over you.” ~ Lauren Conrad,1
“The word ‘happy’ would lose its meaning if it were not balanced by sadness.” ~ Carl Jung,1
“Tears are words that need to be written.” ~ Paulo Coelho,1
"“Every life has a measure of sorrow, and sometimes this is what awakens us.” ~ Steven Tyler",1
"“You meet everyone twice in this life, when they come and when they go.” ~ C.C Aurel",1
“One thing you can’t hide is when you’re crippled inside.” ~ John Lennon,1
“Things change. And friends leave. Life doesn’t stop for anybody.” ~ Stephen Chbosky,1
"“People keep telling me that life goes on, but to me that’s the saddest part.” ~ Anonymous",1
“Life’s under no obligation to give us what we expect. We take what we get and are thankful it’s no worse than it is.” ~ Margaret Mitchell,1
“Life is a moderately good play with a badly written third act.” ~ Truman Capote,1
“The good life is not one immune to sadness but one in which suffering contributes to our development.” ~ Alain de Botton,1
